Date,VOD,SAN.MC,AMZN,BEI.DE,ORA.PA,RMS.PA,TEF.MC,AIR.PA,WIT,WTRG,XYL,ABBNY,OR.PA,EMR,AWK,DBK.DE,CS.PA,MSFT,AAPL,CRH,DTE.DE,DG.PA,ACN,SCRYY,ALV.DE,HSIC,EXP,SU.PA,LMT,BA,AI.PA,DASTY,DSY.PA,PNGAY,UL,INFY,TPR,BABA,MUV2.DE,CFR.SW,PG,PTC,CTTAY,ACA.PA,GT,HNR1.DE,VIE.PA,RTX,EN.PA,BNP.PA,KMB,EL.PA,HON,LIN,HSBA.L,JD,GOOGL,SGO.PA,MC.PA,BRBY.L,FER.MC,ML.PA,SHW,JNJ,^GSPC,SNN,APD,G.MI,CAP.PA,ACS.MC,META,ANSS,SCOR,SIAGY,AXA.PA
2021-03-04,12.2178,2.4635,148.8785,81.9470,6.9798,873.8287,2.5804,93.7191,3.0519,35.7951,92.8798,24.7564,288.8543,79.9271,121.9481,9.2807,16.3314,217.5609,117.0061,39.9371,12.6812,74.0521,230.6908,2.4630,164.6341,61.5000,119.9612,112.2495,295.5331,224.7100,96.1713,39.6604,33.3305,19.3904,50.5554,15.9899,35.9154,218.9047,215.7674,77.3834,107.6718,126.4300,12.9837,8.2313,18.2100,125.9277,17.6179,66.5414,26.4622,36.5101,106.7885,121.1714,172.6345,229.2586,425.0849,82.3651,100.8629,40.3133,489.3431,1847.5342,19.1220,25.9349,210.3348,132.9233,3768.4700,33.4334,226.5384,11.8768,126.4658,19.2985,255.8528,,,,
2021-03-05,12.3222,2.4953,150.0230,82.7759,7.0368,854.9996,2.6178,89.1592,3.0235,36.7698,94.5205,25.2062,286.9955,82.2304,122.8877,9.4779,16.3314,222.2340,118.2625,40.1442,12.6939,72.1020,233.0350,2.4847,162.7918,62.5700,122.6752,111.4312,297.4378,223.2200,96.1713,39.6702,32.8533,19.3291,51.0659,16.0867,36.9197,222.1242,211.1379,75.6751,111.0479,125.5100,13.0275,8.3026,18.2600,123.5517,17.9500,67.2209,26.3551,36.4677,109.2035,120.6289,175.7310,231.3324,436.1481,82.2290,103.9940,40.3831,479.5360,1862.5142,18.5759,25.6732,215.4787,135.5545,3841.9399,33.8641,233.0670,11.8251,124.7227,19.0863,262.4467,,,,
2021-03-08,12.1691,2.5577,147.5975,82.3519,7.0881,864.2220,2.6368,93.9246,2.9524,35.9935,95.1617,25.4608,286.9955,83.2149,120.9542,9.8831,16.7509,218.1942,113.3341,40.5412,12.9605,73.7521,232.9229,2.5208,168.7500,64.7900,124.0371,113.6134,298.3290,224.0300,98.7368,38.6227,32.6585,19.6053,51.0281,15.8227,38.7168,215.2863,219.2395,78.1759,112.2202,118.8500,13.4214,8.5405,18.5500,127.9643,18.0607,67.6054,26.9515,37.6411,110.4981,124.0199,176.6837,236.9746,453.9886,77.4561,99.5522,42.2571,490.2596,1917.4408,19.3368,26.6570,219.4395,136.6834,3821.3501,33.3455,235.7703,12.1908,127.9796,19.3570,253.5389,,,,
2021-03-09,12.5100,2.4899,153.1425,82.1976,7.0696,873.4445,2.5872,93.6817,3.0709,36.3385,94.3036,25.8342,289.1331,81.2910,123.6286,9.5981,16.8845,224.3258,117.9411,41.0158,13.0451,74.5354,237.5741,2.4992,167.2213,65.1800,123.3367,113.8862,294.8778,230.6100,98.5105,39.9311,33.5351,19.7588,51.1510,16.3683,38.1970,226.1604,217.9995,78.6866,111.2242,127.5500,12.4672,8.4114,18.0500,127.3703,18.1635,66.9080,26.5845,37.1745,109.8176,124.0199,176.6071,245.0643,445.8657,81.2400,101.1817,41.5336,495.5755,1975.3636,19.9187,26.2907,225.1573,136.9439,3875.4399,33.6004,236.3268,12.2130,132.0162,19.7886,263.8966,,,,
2021-03-10,12.7466,2.4798,152.8820,83.7205,7.2706,888.8153,2.6749,92.4950,3.1040,36.5628,95.2371,26.0719,296.0106,82.8446,123.2220,9.5747,16.8919,223.0208,116.8600,41.3869,13.7095,74.5021,240.1612,2.5208,167.3388,65.9100,127.1694,115.0228,297.7961,245.3400,101.3779,40.2212,33.6617,19.6360,51.8316,16.4387,37.8535,222.5135,218.5782,78.5985,112.2467,130.9900,12.1257,8.4522,18.0800,127.8794,18.2822,68.4548,26.8215,37.2947,111.5686,124.6076,181.1157,248.1471,444.6199,81.0585,100.9749,42.7452,506.8491,1961.3822,19.9993,26.5000,225.1765,138.2031,3898.8101,34.0135,239.9577,12.2795,131.6492,19.9349,263.0624,,,,
2021-03-11,12.9066,2.4447,155.6795,83.0266,7.2599,916.6748,2.6973,92.6258,3.1893,36.5541,95.2937,26.2161,298.4270,82.4743,123.8184,9.4205,16.8548,227.5404,118.7885,41.6371,13.7264,74.4854,248.7818,2.5353,167.6132,65.8800,129.8834,116.7504,296.8262,252.0000,100.8119,41.6386,34.6941,19.8355,51.6047,16.7907,38.8225,228.6866,218.0822,78.8627,111.8677,135.8400,11.9681,8.2890,17.9700,128.3885,18.3375,68.8930,26.7603,36.9907,110.0002,127.7726,180.7669,249.7631,423.7422,81.6755,104.1661,42.3791,517.3893,1983.8523,19.7397,26.3849,224.5068,138.1944,3939.3401,34.4266,240.9030,12.3866,133.6217,19.6203,271.9801,,,,
2021-03-12,13.1293,2.4899,154.4745,83.9326,7.2991,916.6748,2.7170,93.4387,3.0993,37.5202,96.0575,26.1313,299.8211,83.2781,125.7067,9.5532,17.0255,226.2162,117.8827,41.9996,13.9506,75.9521,247.4555,2.5714,167.6916,67.1900,129.9029,115.0228,297.2282,269.1900,100.3592,40.5035,33.7299,19.3367,52.1152,16.6411,39.2982,220.2058,219.8182,80.5005,112.9519,132.1900,12.0907,8.3740,18.1700,129.4917,18.5352,70.2073,27.0891,37.5209,110.7636,126.3710,182.3662,250.8187,427.0818,76.2402,101.6598,42.9544,516.3811,2120.1704,20.1425,26.3431,225.8239,138.5938,3943.3401,34.5760,241.4066,12.4901,132.7960,19.7813,266.5381,,,,
2021-03-15,13.0945,2.4543,154.0840,83.8169,7.3668,925.1288,2.7645,93.4387,3.1088,37.9342,98.1225,26.3944,298.7988,82.1220,126.7729,9.3775,16.8919,225.3142,120.7657,41.6889,14.0691,76.0021,248.6791,2.5714,167.2605,68.2200,131.4885,114.1590,302.6627,265.6300,100.6988,40.6378,33.9441,19.6360,52.1341,16.8523,40.8134,218.6958,217.1728,79.3382,113.3221,137.0900,11.8806,8.2652,17.7200,128.6431,18.4245,71.1462,26.7145,36.6373,111.4109,126.0545,183.9144,251.2857,422.6954,77.2474,101.8800,42.1612,511.6150,2109.1851,20.1157,26.3326,228.6430,139.3059,3968.9399,34.2420,241.1415,12.4384,132.0621,20.1836,271.8510,,,,
2021-03-16,13.2058,2.4405,154.5930,84.5109,7.4096,936.6570,2.7829,95.1019,3.1467,37.6668,96.7081,26.2416,300.5646,80.4420,127.5408,9.3237,16.7843,228.0969,122.3046,40.7310,13.9506,76.2855,246.1199,2.5642,165.7709,67.0300,128.2881,115.5229,303.2917,255.2100,102.2456,41.2122,34.5578,19.4595,53.0416,17.0107,39.4744,215.5143,218.8262,79.2501,113.6570,135.5600,12.2133,8.2347,17.2800,129.6614,18.1952,69.9570,26.3704,36.1849,111.5603,123.7938,180.1799,252.9579,421.4991,77.8190,103.3404,41.9171,513.5398,2088.2129,20.1157,26.0081,228.6684,140.1309,3962.7100,34.4529,242.5109,12.4790,132.5667,20.2787,277.3426,,,,
2021-03-17,13.5259,2.4510,156.7865,85.0699,7.4453,943.1893,2.7801,94.3731,3.0756,37.4253,98.4149,26.3265,302.9810,81.7607,125.9326,9.4152,16.6618,227.4540,121.5157,40.6016,14.0691,76.2688,246.8204,2.5786,164.7126,67.7800,129.6694,114.8864,306.6905,263.5900,102.2456,41.5120,34.5578,19.3137,52.7013,16.8083,39.7210,221.6018,213.9487,79.1093,113.1987,132.2300,12.6948,8.2720,17.9000,129.7462,17.8789,71.1372,26.2022,36.5313,110.0002,121.6688,181.2178,251.7995,429.2751,77.4651,103.2576,42.1438,520.7805,2092.2080,19.7665,26.5942,227.1728,139.6098,3974.1201,34.2684,239.1185,12.3756,130.2731,20.0008,282.0399,,,,
2021-03-18,13.2476,2.5004,151.3995,84.9543,7.4702,938.9625,2.8005,94.4666,2.9808,36.6231,98.2262,26.1822,299.2635,80.8033,125.5892,9.8760,16.8956,221.3896,117.3957,40.4167,14.1791,75.8688,249.2675,2.5425,169.4556,67.6900,127.7725,116.0684,313.1821,256.0600,103.1511,40.6047,34.2753,18.8840,52.8620,16.1747,39.9589,224.5364,217.8342,81.1345,113.4455,127.0300,12.6072,8.4522,17.4700,131.4434,17.6337,69.6887,26.8980,37.3866,109.8757,120.8549,182.9106,250.2581,440.1914,76.1313,100.2385,42.9457,519.0390,2111.1824,19.3637,26.3744,226.4616,139.3493,3915.4600,33.7850,237.6697,12.4568,130.7777,20.3007,276.6873,,,,
