Price,Close
Ticker,ACA.PA
Date,
2021-03-04,8.2313
2021-03-05,8.3026
2021-03-08,8.5405
2021-03-09,8.4114
2021-03-10,8.4522
2021-03-11,8.289
2021-03-12,8.374
2021-03-15,8.2652
2021-03-16,8.2347
2021-03-17,8.272
2021-03-18,8.4522
2021-03-19,8.2347
2021-03-22,8.1871
2021-03-23,8.1021
2021-03-24,8.2007
2021-03-25,8.1871
2021-03-26,8.3162
2021-03-29,8.2584
2021-03-30,8.4827
2021-03-31,8.391
2021-04-01,8.4542
2021-04-06,8.4569
2021-04-07,8.4963
2021-04-08,8.514
2021-04-09,8.5181
2021-04-12,8.5154
2021-04-13,8.5086
2021-04-14,8.563
2021-04-15,8.461
2021-04-16,8.4705
2021-04-19,8.563
2021-04-20,8.3087
2021-04-21,8.2367
2021-04-22,8.253
2021-04-23,8.272
2021-04-26,8.442
2021-04-27,8.5562
2021-04-28,8.6676
2021-04-29,8.7288
2021-04-30,8.7492
2021-05-03,8.7669
2021-05-04,8.6663
2021-05-05,8.8348
2021-05-06,8.896
2021-05-07,8.7478
2021-05-10,9.0918
2021-05-11,8.9762
2021-05-12,9.1135
2021-05-13,8.9898
2021-05-14,9.0578
2021-05-17,9.0687
2021-05-18,8.9978
2021-05-19,8.7621
2021-05-20,8.817
2021-05-21,8.8792
2021-05-24,8.8445
2021-05-25,8.7592
2021-05-26,8.6594
2021-05-27,8.7621
2021-05-28,8.8951
2021-05-31,8.8228
2021-06-01,9.005
2021-06-02,8.9515
2021-06-03,8.9139
2021-06-04,8.9428
2021-06-07,9.0311
2021-06-08,8.8648
2021-06-09,8.7505
2021-06-10,8.9602
2021-06-11,8.9833
2021-06-14,9.0079
2021-06-15,9.0079
2021-06-16,8.8604
2021-06-17,8.8937
2021-06-18,8.5307
2021-06-21,8.5553
2021-06-22,8.5842
2021-06-23,8.4916
2021-06-24,8.5914
2021-06-25,8.6406
2021-06-28,8.5191
2021-06-29,8.6493
2021-06-30,8.5423
2021-07-01,8.6681
2021-07-02,8.5697
2021-07-05,8.7129
2021-07-06,8.4685
2021-07-07,8.4569
2021-07-08,8.321
2021-07-09,8.5278
2021-07-12,8.509
2021-07-13,8.376
2021-07-14,8.4266
2021-07-15,8.3601
2021-07-16,8.2791
2021-07-19,8.0231
2021-07-20,8.1431
2021-07-21,8.4049
2021-07-22,8.3485
2021-07-23,8.4396
2021-07-26,8.5856
2021-07-27,8.4916
2021-07-28,8.4728
2021-07-29,8.59
2021-07-30,8.5032
2021-08-02,8.4772
2021-08-03,8.5235
2021-08-04,8.6551
2021-08-05,8.629
2021-08-06,8.8807
2021-08-09,8.885
2021-08-10,8.859
2021-08-11,8.911
2021-08-12,8.8517
2021-08-13,8.8893
2021-08-16,8.8098
2021-08-17,8.6392
2021-08-18,8.6594
2021-08-19,8.4815
2021-08-20,8.496
2021-08-23,8.6449
2021-08-24,8.7042
2021-08-25,8.8243
2021-08-26,8.765
2021-08-27,8.7592
2021-08-30,8.7404
2021-08-31,8.8286
2021-09-01,8.9139
2021-09-02,8.9342
2021-09-03,8.7621
2021-09-06,8.8344
2021-09-07,8.8532
2021-09-08,8.7389
2021-09-09,8.7534
2021-09-10,8.658
2021-09-13,8.7693
2021-09-14,8.5466
2021-09-15,8.5582
2021-09-16,8.5828
2021-09-17,8.4309
2021-09-20,8.1055
2021-09-21,8.0983
2021-09-22,8.3629
2021-09-23,8.5842
2021-09-24,8.6044
2021-09-27,8.9067
2021-09-28,8.7057
2021-09-29,8.71
2021-09-30,8.6377
2021-10-01,8.5452
2021-10-04,8.5148
2021-10-05,8.9978
2021-10-06,8.9602
2021-10-07,9.2494
2021-10-08,9.2769
2021-10-11,9.2639
2021-10-12,9.1424
2021-10-13,9.0744
2021-10-14,9.1019
2021-10-15,9.2899
2021-10-18,9.2523
2021-10-19,9.2711
2021-10-20,9.3376
2021-10-21,9.2856
2021-10-22,9.3651
2021-10-25,9.4403
2021-10-26,9.4287
2021-10-27,9.3796
2021-10-28,9.3651
2021-10-29,9.4287
2021-11-01,9.543
2021-11-02,9.569
2021-11-03,9.611
2021-11-04,9.4837
2021-11-05,9.5791
2021-11-08,9.5603
2021-11-09,9.4721
2021-11-10,9.2971
2021-11-11,9.3217
2021-11-12,9.206
2021-11-15,9.2422
2021-11-16,9.1858
2021-11-17,9.2306
2021-11-18,9.1467
2021-11-19,9.0224
2021-11-22,9.1988
2021-11-23,9.1294
2021-11-24,9.1583
2021-11-25,9.1251
2021-11-26,8.7245
2021-11-29,8.7722
2021-11-30,8.7245
2021-12-01,8.898
2021-12-02,8.8864
2021-12-03,8.8503
2021-12-06,8.9052
2021-12-07,9.0137
2021-12-08,8.9703
2021-12-09,8.9038
2021-12-10,8.846
2021-12-13,8.7635
2021-12-14,8.8402
2021-12-15,8.7765
2021-12-16,8.8214
2021-12-17,8.6811
2021-12-20,8.6016
2021-12-21,8.8026
2021-12-22,8.859
2021-12-23,8.9949
2021-12-24,9.0311
2021-12-27,9.0412
2021-12-28,9.0744
2021-12-29,9.0875
2021-12-30,9.1135
2021-12-31,9.0744
