Price,Close
Ticker,DBK.DE
Date,
2021-03-04,9.2807
2021-03-05,9.4779
2021-03-08,9.8831
2021-03-09,9.5981
2021-03-10,9.5747
2021-03-11,9.4205
2021-03-12,9.5532
2021-03-15,9.3775
2021-03-16,9.3237
2021-03-17,9.4152
2021-03-18,9.876
2021-03-19,9.5012
2021-03-22,9.4349
2021-03-23,9.4116
2021-03-24,9.5156
2021-03-25,9.3703
2021-03-26,9.4044
2021-03-29,9.0924
2021-03-30,9.2341
2021-03-31,9.1337
2021-04-01,9.2054
2021-04-06,9.2699
2021-04-07,9.3847
2021-04-08,9.2717
2021-04-09,9.2699
2021-04-12,9.2968
2021-04-13,9.209
2021-04-14,9.3309
2021-04-15,9.1552
2021-04-16,9.3614
2021-04-19,9.3201
2021-04-20,8.9337
2021-04-21,8.8315
2021-04-22,8.7777
2021-04-23,8.8091
2021-04-26,9.0386
2021-04-27,9.1319
2021-04-28,10.1091
2021-04-29,10.4175
2021-04-30,10.4049
2021-05-03,10.2166
2021-05-04,9.8975
2021-05-05,10.1485
2021-05-06,10.1987
2021-05-07,10.2955
2021-05-10,10.3691
2021-05-11,10.1557
2021-05-12,10.3942
2021-05-13,10.3888
2021-05-14,10.5573
2021-05-17,10.482
2021-05-18,10.5466
2021-05-19,10.4175
2021-05-20,10.534
2021-05-21,10.7815
2021-05-25,11.0002
2021-05-26,10.8729
2021-05-27,10.9823
2021-05-28,11.0701
2021-05-31,10.9303
2021-06-01,11.1652
2021-06-02,11.1634
2021-06-03,11.2387
2021-06-04,11.0934
2021-06-07,11.0916
2021-06-08,11.011
2021-06-09,10.7743
2021-06-10,10.6649
2021-06-11,10.4838
2021-06-14,10.3708
2021-06-15,10.3924
2021-06-16,10.1521
2021-06-17,10.1682
2021-06-18,9.824
2021-06-21,9.8724
2021-06-22,9.7863
2021-06-23,9.7182
2021-06-24,9.8688
2021-06-25,9.9549
2021-06-28,9.7809
2021-06-29,9.9298
2021-06-30,9.8491
2021-07-01,9.9602
2021-07-02,9.7881
2021-07-05,9.9316
2021-07-06,9.521
2021-07-07,9.4259
2021-07-08,9.1319
2021-07-09,9.4134
2021-07-12,9.4976
2021-07-13,9.3112
2021-07-14,9.3291
2021-07-15,9.3327
2021-07-16,9.1408
2021-07-19,8.8575
2021-07-20,9.0279
2021-07-21,9.4134
2021-07-22,9.3434
2021-07-23,9.4708
2021-07-26,9.555
2021-07-27,9.521
2021-07-28,9.4134
2021-07-29,9.6985
2021-07-30,9.555
2021-08-02,9.4295
2021-08-03,9.3883
2021-08-04,9.4134
2021-08-05,9.5317
2021-08-06,9.668
2021-08-09,9.7756
2021-08-10,9.7684
2021-08-11,9.8294
2021-08-12,9.7594
2021-08-13,9.8383
2021-08-16,9.6841
2021-08-17,9.5801
2021-08-18,9.6698
2021-08-19,9.4044
2021-08-20,9.3775
2021-08-23,9.408
2021-08-24,9.5443
2021-08-25,9.6985
2021-08-26,9.4779
2021-08-27,9.4331
2021-08-30,9.3668
2021-08-31,9.4385
2021-09-01,9.4743
2021-09-02,9.469
2021-09-03,9.451
2021-09-06,9.6483
2021-09-07,9.7433
2021-09-08,9.6931
2021-09-09,9.7218
2021-09-10,9.6931
2021-09-13,9.9082
2021-09-14,9.8294
2021-09-15,9.8706
2021-09-16,9.9423
2021-09-17,9.9136
2021-09-20,9.1552
2021-09-21,9.0548
2021-09-22,9.4044
2021-09-23,9.5532
2021-09-24,9.7074
2021-09-27,9.9531
2021-09-28,9.7845
2021-09-29,9.8598
2021-09-30,9.8957
2021-10-01,9.6823
2021-10-04,9.5568
2021-10-05,9.8993
2021-10-06,9.7953
2021-10-07,10.2166
2021-10-08,10.2597
2021-10-11,10.3242
2021-10-12,10.2561
2021-10-13,9.8186
2021-10-14,9.9172
2021-10-15,10.231
2021-10-18,10.2561
2021-10-19,10.2202
2021-10-20,10.3045
2021-10-21,10.3762
2021-10-22,10.4157
2021-10-25,10.4408
2021-10-26,10.6703
2021-10-27,9.9316
2021-10-28,9.9298
2021-10-29,9.9925
2021-11-01,10.1306
2021-11-02,10.17
2021-11-03,10.3081
2021-11-04,9.9226
