Price,Close
Ticker,SCRYY
Date,
2021-03-04,2.463
2021-03-05,2.4847
2021-03-08,2.5208
2021-03-09,2.4992
2021-03-10,2.5208
2021-03-11,2.5353
2021-03-12,2.5714
2021-03-15,2.5714
2021-03-16,2.5642
2021-03-17,2.5786
2021-03-18,2.5425
2021-03-19,2.5858
2021-03-22,2.5353
2021-03-23,2.4919
2021-03-24,2.4847
2021-03-25,2.5425
2021-03-26,2.5642
2021-03-29,2.5497
2021-03-30,2.4847
2021-03-31,2.4486
2021-04-01,2.4703
2021-04-05,2.5497
2021-04-06,2.4775
2021-04-07,2.4992
2021-04-08,2.4486
2021-04-09,2.4775
2021-04-12,2.4992
2021-04-13,2.5064
2021-04-14,2.4992
2021-04-15,2.4919
2021-04-16,2.4919
2021-04-19,2.4847
2021-04-20,2.4053
2021-04-21,2.4342
2021-04-22,2.4125
2021-04-23,2.4269
2021-04-26,2.4197
2021-04-27,2.3836
2021-04-28,2.4269
2021-04-29,2.3547
2021-04-30,2.3258
2021-05-03,2.333
2021-05-04,2.268
2021-05-05,2.333
2021-05-06,2.3908
2021-05-07,2.4414
2021-05-10,2.398
2021-05-11,2.3836
2021-05-12,2.3619
2021-05-13,2.3547
2021-05-14,2.4125
2021-05-17,2.3836
2021-05-18,2.4775
2021-05-19,2.3691
2021-05-20,2.3547
2021-05-21,2.3619
2021-05-24,2.3691
2021-05-25,2.333
2021-05-26,2.2897
2021-05-27,2.3114
2021-05-28,2.3186
2021-06-01,2.3403
2021-06-02,2.3114
2021-06-03,2.2752
2021-06-04,2.3114
2021-06-07,2.3258
2021-06-08,2.268
2021-06-09,2.2536
2021-06-10,2.2825
2021-06-11,2.4414
2021-06-14,2.4053
2021-06-15,2.4269
2021-06-16,2.3691
2021-06-17,2.3186
2021-06-18,2.2391
2021-06-21,2.2897
2021-06-22,2.2825
2021-06-23,2.268
2021-06-24,2.268
2021-06-25,2.2825
2021-06-28,2.2391
2021-06-29,2.2752
2021-06-30,2.3125
2021-07-01,2.3125
2021-07-02,2.2892
2021-07-06,2.2659
2021-07-07,2.2892
2021-07-08,2.2815
2021-07-09,2.3358
2021-07-12,2.328
2021-07-13,2.3435
2021-07-14,2.3358
2021-07-15,2.2737
2021-07-16,2.2892
2021-07-19,2.1806
2021-07-20,2.1495
2021-07-21,2.2039
2021-07-22,2.1418
2021-07-23,2.1495
2021-07-26,2.2194
2021-07-27,2.2271
2021-07-28,2.1263
2021-07-29,2.1883
2021-07-30,2.1263
2021-08-02,2.1573
2021-08-03,2.0797
2021-08-04,2.1263
2021-08-05,2.1573
2021-08-06,2.1495
2021-08-09,2.1418
2021-08-10,2.134
2021-08-11,2.1728
2021-08-12,2.2194
2021-08-13,2.2427
2021-08-16,2.2116
2021-08-17,2.2271
2021-08-18,2.2892
2021-08-19,2.2582
2021-08-20,2.3358
2021-08-23,2.3668
2021-08-24,2.3591
2021-08-25,2.3513
2021-08-26,2.3125
